,S2Ctrl_7,WTCtrl_1,S2Ctrl_8,WTCtrl_2,S2Ctrl_9,WTCtrl_3,S2CYTO_10,WTCYTO_4,S2CYTO_11,WTCYTO_5,S2CYTO_12,WTCYTO_6
A1BG,54,29,177,178,83,81,44,36,71,41,34,40
A1BG-AS1,27,18,167,126,78,87,45,144,102,135,164,17
A1CF,0,0,0,0,4,0,0,2,0,0,0,6
A2M,109,120,41,1224,58,306,475,1119,452,5392,388,950
A2M-AS1,55,86,68,307,75,80,17,22,5,7,15,33
A2ML1,0,0,0,2,0,0,0,0,0,0,0,0
A2ML1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,0,0,0,1,0,0,0,0,0,0,0,0
A4GALT,634,743,556,1616,866,596,487,848,826,664,361,398
A4GNT,0,0,0,9,0,4,4,6,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,2030,1892,2046,5784,1671,2125,601,1270,627,995,715,848
AACS,977,903,1102,1911,1129,1092,765,1787,485,647,807,750
AACSP1,0,0,0,0,0,0,0,1,0,0,0,0
AADAC,18,18,280,953,85,66,9,30,91,169,34,38
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,3,0,4,17,0,0,4,0,2,0,0,8
AADAT,420,435,551,1116,696,529,52,151,69,60,112,112
AAGAB,1831,2143,1602,4340,3238,2134,2085,4428,699,1998,3064,2499
AAK1,1350,1447,651,1938,1436,1781,699,1753,317,486,1195,1455
AAMDC,397,548,549,2901,548,489,253,676,236,284,210,295
AAMP,4490,4046,4601,13888,4344,4491,3779,9336,3143,6003,4462,4915
AANAT,0,0,2,9,0,0,0,0,0,6,0,0
AAR2,1427,1198,1463,4124,1208,1151,1506,2545,984,1498,1035,1190
AARD,20,13,0,38,8,14,4,0,0,0,0,2
AARS,7349,6684,7617,18381,8137,8444,4778,12176,3846,7121,6477,6637
AARS2,1503,1327,1424,4417,1508,1755,401,1192,340,732,718,730
AARSD1,1413,1089,335,1025,1183,327,619,361,458,975,794,829
AARSP1,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,655,659,498,1531,691,820,356,886,302,574,676,689
AASDHPPT,1295,1627,1127,3066,1410,1647,871,2107,554,1246,2111,2368
AASS,80,431,69,192,137,128,254,158,153,307,505,87
AATBC,0,0,0,2,8,4,2,0,0,0,0,3
AATF,2327,2389,2121,5092,2305,2866,1227,3720,1030,1947,3158,1823
AATK,2,0,0,12,0,0,2,8,0,0,0,0
AB015752.1,0,0,0,0,0,2,0,0,0,0,0,0
ABALON,654,696,404,1422,488,621,626,1295,324,621,344,524
ABAT,147,182,611,368,249,264,490,1170,585,541,753,719
ABBA01000935.2,0,0,0,0,0,0,0,0,0,0,0,0
ABBA01006766.1,0,0,0,0,0,0,0,0,0,0,0,0
ABCA1,604,605,1315,1482,946,871,1263,2280,1492,1481,2446,2364
ABCA10,6,4,29,132,8,13,11,12,0,18,0,17
ABCA11P,175,123,248,382,166,167,108,195,27,88,159,165
ABCA12,0,0,0,0,0,0,0,0,4,0,0,2
ABCA13,28,21,10,44,24,15,64,289,86,300,95,169
ABCA17P,6,0,4,14,4,0,0,4,0,0,0,0
ABCA2,3666,3236,4560,10509,4058,4356,1388,3576,1224,1799,1726,1799
ABCA3,41,48,48,258,117,151,12,125,14,64,50,39
ABCA4,0,2,4,19,4,0,0,6,0,0,0,0
ABCA5,183,159,229,517,215,322,191,619,222,312,407,479
ABCA6,718,667,998,3962,1562,1743,157,342,154,197,303,281
ABCA7,245,145,381,876,362,428,72,205,35,91,93,171
ABCA8,1742,1825,4334,9742,3053,3240,211,507,175,192,276,245
ABCA9,236,233,821,1659,879,758,25,36,79,31,82,90
ABCA9-AS1,0,2,0,11,0,6,0,0,0,2,0,0
ABCB1,0,0,0,0,0,0,0,0,0,4,0,0
ABCB10,1533,1648,908,2542,1519,1797,550,1462,328,595,766,827
ABCB10P1,0,0,0,0,0,0,0,9,0,4,2,0
ABCB10P3,2,0,0,0,0,0,0,4,1,5,2,2
ABCB10P4,4,1,1,2,6,1,0,11,2,4,1,4
ABCB11,8,0,8,67,4,9,0,6,8,16,0,4
ABCB4,0,0,0,80,4,0,0,0,0,0,2,6
ABCB5,0,0,0,0,0,0,0,0,0,0,0,0
ABCB6,683,622,794,3018,695,1057,350,586,502,928,691,550
ABCB7,569,271,285,1281,365,654,249,345,295,214,249,507
ABCB8,1794,1509,1864,4712,1612,1700,930,2189,654,1698,754,1250
ABCB9,458,365,581,1220,597,580,98,189,63,163,130,181
ABCC1,7810,7709,8479,20651,7290,8057,6867,16028,3778,8053,7848,8386
ABCC10,621,422,1144,1744,826,898,564,662,155,277,210,830
